Symbol,A005930,A000660,A068270,A005380,A005490,A035420,A051910,A105560,A012330,A055550,A015760,A051900,A032830,A017670,A034730,A096770,A090430,A006400,A033780,A066570,A000270,A003550,A010950,A086790,A000810,A011170,A009150,A000030
2011-01-01,18840,24300,31354,175000,487000,344804,391000,59500,290000,53300,30150,393500,102000,172500,88300,193500,114329,170000,65200,111898,51100,86700,91000,42900,218000,274500,124000,15400
2011-01-02,18840,24300,31354,175000,487000,344804,391000,59500,290000,53300,30150,393500,102000,172500,88300,193500,114329,170000,65200,111898,51100,86700,91000,42900,218000,274500,124000,15400
2011-01-03,19100,25000,33418,174000,487000,358910,393000,60600,287500,53100,30400,393000,104000,173000,87000,195000,113429,169500,64800,115807,51100,88000,93100,43750,224000,272500,125000,15400
2011-01-04,19120,25400,32681,177000,483500,350290,390000,61800,294500,53700,30050,394500,104000,172000,87800,194500,112529,178500,65700,116784,53000,87500,93000,43800,223000,282000,129000,15400
2011-01-05,19100,25450,32190,177500,502000,343237,395000,62000,291500,53400,29800,388000,104000,172500,89200,195500,112529,178000,65500,113852,55400,85800,90500,44500,223500,286000,128000,15400
2011-01-06,18840,26250,33123,193000,511000,351857,421000,59700,306000,52800,29350,394500,104000,171500,89400,192000,111829,180500,64600,113364,57700,85600,88200,44200,219000,297000,130500,15400
2011-01-07,18300,26100,33910,193000,504000,347155,416500,59100,300000,52000,29000,393000,105500,171500,86200,190500,114429,180500,65300,112386,57400,86800,90100,44100,219000,302500,130500,15400
2011-01-08,18300,26100,33910,193000,504000,347155,416500,59100,300000,52000,29000,393000,105500,171500,86200,190500,114429,180500,65300,112386,57400,86800,90100,44100,219000,302500,130500,15400
2011-01-09,18300,26100,33910,193000,504000,347155,416500,59100,300000,52000,29000,393000,105500,171500,86200,190500,114429,180500,65300,112386,57400,86800,90100,44100,219000,302500,130500,15400
2011-01-10,18360,26000,33910,196000,491000,352641,410500,59100,298000,52200,28800,396500,107500,170500,88400,190000,115030,176500,64700,111898,58400,89300,89100,43950,220000,301500,132000,15400
2011-01-11,18340,25500,33910,197000,491000,340102,410500,58000,310000,50700,29250,416000,109500,170000,89100,187000,119231,172000,64700,110920,59100,87500,89900,44250,226500,307500,128500,15400
2011-01-12,18280,25600,34155,196000,492500,334617,414500,58800,306000,51400,28900,415000,108500,169000,91200,191500,116830,169500,63300,110920,58600,85800,94200,43750,219500,313000,129000,15400
2011-01-13,18980,27000,34696,193500,491500,327564,418500,59200,307000,51500,28700,405000,105500,168000,98600,197000,111929,171500,65400,109455,58800,86400,95000,46400,219000,325000,127000,15400
2011-01-14,18560,27300,33959,193000,476000,318944,415000,60700,308000,53000,28150,399500,107500,167000,98500,190500,108928,171500,65000,110432,57900,86800,92000,47300,222500,319000,126500,15400
2011-01-15,18560,27300,33959,193000,476000,318944,415000,60700,308000,53000,28150,399500,107500,167000,98500,190500,108928,171500,65000,110432,57900,86800,92000,47300,222500,319000,126500,15400
2011-01-16,18560,27300,33959,193000,476000,318944,415000,60700,308000,53000,28150,399500,107500,167000,98500,190500,108928,171500,65000,110432,57900,86800,92000,47300,222500,319000,126500,15400
2011-01-17,18900,27350,33320,199000,477500,328348,421000,60400,316500,53800,28000,400000,110000,166000,97200,187000,109228,171500,65500,111898,58600,85800,90400,48000,221000,319000,126000,15400
2011-01-18,19000,26850,36613,196500,465000,332266,407000,60800,305000,53000,28150,392000,109500,166500,95600,184000,108628,166500,63000,113364,57600,85100,89900,48000,220000,312500,124500,15400
2011-01-19,19580,28050,35040,193000,470500,318944,409500,59400,299000,52200,28500,394000,109000,167000,97800,188000,108428,170000,62000,113852,57200,85200,92100,46700,220000,323500,126500,15400
2011-01-20,19740,27650,35679,192500,473000,315026,404000,59100,295000,51700,28600,406000,110000,167500,96900,186000,107728,170000,62600,118739,57200,87900,93700,48000,225000,318000,124500,15400
2011-01-21,19520,28150,35384,192000,473000,321295,401000,58900,294000,50900,28450,401000,110000,168000,95900,187000,107328,163000,61600,118250,57600,88600,93900,47300,228000,331500,123000,15400
2011-01-22,19520,28150,35384,192000,473000,321295,401000,58900,294000,50900,28450,401000,110000,168000,95900,187000,107328,163000,61600,118250,57600,88600,93900,47300,228000,331500,123000,15400
2011-01-23,19520,28150,35384,192000,473000,321295,401000,58900,294000,50900,28450,401000,110000,168000,95900,187000,107328,163000,61600,118250,57600,88600,93900,47300,228000,331500,123000,15400
2011-01-24,19360,28250,34205,185500,466000,328348,394000,56600,285000,49700,28300,396000,107500,167000,93400,183000,106427,160000,61300,119716,56100,86100,93700,45700,225000,329000,122000,15400
2011-01-25,19440,28700,34991,190000,479500,325213,400000,57500,290000,50000,28400,397000,107000,167500,97800,191000,106627,161000,61100,120693,57100,86900,97500,46500,221500,333000,125500,15400
2011-01-26,19700,27650,34008,192500,473000,325997,401000,58300,286000,50100,28700,402000,107500,168000,98300,186000,106227,165500,61800,117761,57300,89200,100500,45200,227000,334500,131500,15400
2011-01-27,19900,28600,34647,197500,474500,318944,408500,58000,295000,49900,28750,407000,106500,167500,97600,190000,105227,165000,61000,119227,59600,91300,99700,45400,227500,342000,131500,15400
2011-01-28,19960,29250,34401,197000,463000,322078,403000,57800,292000,49650,29000,401000,105500,167000,102000,198500,105627,160000,60500,117761,59000,90400,109500,43750,229000,344000,130000,15400
2011-01-29,19960,29250,34401,197000,463000,322078,403000,57800,292000,49650,29000,401000,105500,167000,102000,198500,105627,160000,60500,117761,59000,90400,109500,43750,229000,344000,130000,15400
2011-01-30,19960,29250,34401,197000,463000,322078,403000,57800,292000,49650,29000,401000,105500,167000,102000,198500,105627,160000,60500,117761,59000,90400,109500,43750,229000,344000,130000,15400
2011-01-31,20180,29400,34991,182500,460500,316593,404000,57000,267000,49900,28450,403000,103500,166000,102000,198000,106627,152000,59300,114341,55800,86500,110500,43850,227000,347000,128500,15400
2011-02-01,19640,29800,35679,179000,467500,315026,421500,57800,261500,49600,28450,410000,103500,165000,104000,206500,109228,157500,62000,114341,54900,86000,114500,44400,236500,363000,132500,15400
2011-02-02,19640,29800,35679,179000,467500,315026,421500,57800,261500,49600,28450,410000,103500,165000,104000,206500,109228,157500,62000,114341,54900,86000,114500,44400,236500,363000,132500,15400
2011-02-03,19640,29800,35679,179000,467500,315026,421500,57800,261500,49600,28450,410000,103500,165000,104000,206500,109228,157500,62000,114341,54900,86000,114500,44400,236500,363000,132500,15400
2011-02-04,19640,29800,35679,179000,467500,315026,421500,57800,261500,49600,28450,410000,103500,165000,104000,206500,109228,157500,62000,114341,54900,86000,114500,44400,236500,363000,132500,15400
2011-02-05,19640,29800,35679,179000,467500,315026,421500,57800,261500,49600,28450,410000,103500,165000,104000,206500,109228,157500,62000,114341,54900,86000,114500,44400,236500,363000,132500,15400
2011-02-06,19640,29800,35679,179000,467500,315026,421500,57800,261500,49600,28450,410000,103500,165000,104000,206500,109228,157500,62000,114341,54900,86000,114500,44400,236500,363000,132500,15400
2011-02-07,20040,30300,35875,183500,465500,318160,416000,59100,266500,51000,28800,419000,107500,165000,103500,204000,108928,156500,60000,117273,56400,86200,111000,47000,234000,364000,137500,15400
2011-02-08,19400,29700,35531,187500,469500,322078,412000,59600,270500,51900,28550,416000,108500,164000,100500,195000,104727,156000,59600,115807,57700,87000,109000,47450,241000,350000,135500,15400
2011-02-09,19460,30200,35630,177500,484500,316593,403000,59000,257500,51700,28300,403000,109500,165000,103500,198000,98925,158000,58200,117761,57000,87100,112000,47000,240500,344000,136000,15400
2011-02-10,19200,29450,34008,173500,478500,319727,388000,58700,249500,51500,28500,391000,106000,162500,99100,192500,97125,157000,57300,117273,54800,84900,110500,44500,235000,338500,130000,15400
2011-02-11,18700,28700,32534,176000,491500,317376,379000,57000,250000,50400,27950,385500,106500,163000,97900,185500,96825,155000,57500,114341,55300,81600,108000,44300,232000,330000,132000,15400
2011-02-12,18700,28700,32534,176000,491500,317376,379000,57000,250000,50400,27950,385500,106500,163000,97900,185500,96825,155000,57500,114341,55300,81600,108000,44300,232000,330000,132000,15400
2011-02-13,18700,28700,32534,176000,491500,317376,379000,57000,250000,50400,27950,385500,106500,163000,97900,185500,96825,155000,57500,114341,55300,81600,108000,44300,232000,330000,132000,15400
2011-02-14,18560,29200,32632,178000,479000,295434,375000,58200,254000,49050,27950,372500,104000,163000,94700,181000,98325,156500,56800,117273,55800,81200,109000,43200,228000,339000,130000,15400
2011-02-15,19260,29750,33811,183000,485500,299353,383000,59000,260500,49400,29000,375000,108500,161000,96900,181000,97725,157500,56500,119227,57100,81600,110000,44100,226000,345000,130000,15400
2011-02-16,19040,29650,33123,180000,482500,289949,377000,57100,258000,49000,28550,370000,108000,158500,99800,181000,96125,161000,57000,120693,56900,83500,113000,45450,223000,333500,125500,15400
2011-02-17,19060,29550,32288,176000,488500,297785,373000,57500,256000,49350,29100,373000,110000,160000,95100,176500,99526,162500,56400,120693,56300,81200,110000,45050,217000,323000,128500,15400
2011-02-18,19300,29350,31059,177000,488000,303271,386500,56600,256000,47850,29100,368500,112000,157000,92400,171500,100626,163500,58200,115318,55500,81800,106500,45250,223500,322000,131000,15400
2011-02-19,19300,29350,31059,177000,488000,303271,386500,56600,256000,47850,29100,368500,112000,157000,92400,171500,100626,163500,58200,115318,55500,81800,106500,45250,223500,322000,131000,15400
2011-02-20,19300,29350,31059,177000,488000,303271,386500,56600,256000,47850,29100,368500,112000,157000,92400,171500,100626,163500,58200,115318,55500,81800,106500,45250,223500,322000,131000,15400
2011-02-21,19280,29400,32288,180500,485000,306405,393500,57100,270000,48200,29500,376000,112500,158000,95300,177000,101826,163000,57400,117273,56400,83100,113000,43950,231000,327500,132500,15400
2011-02-22,18780,28400,31059,176500,470000,289165,387000,55700,270000,46800,29200,370000,109000,155000,93500,185000,103427,164000,57400,116784,56700,81200,120000,44000,223500,339500,131000,15400
2011-02-23,18500,28600,30764,171000,465000,286814,375000,57000,266000,48050,28350,364000,108500,155500,91700,180000,103227,165000,58000,115807,56500,80500,117000,45600,223500,336000,128500,15400
2011-02-24,18520,27200,30617,168500,468500,297002,373000,57000,268500,47800,28650,373000,109500,159000,91000,184500,103927,164000,57600,114341,56700,79200,119000,44450,228500,317000,128500,15400
2011-02-25,18560,27450,31207,175000,464000,290733,369000,56000,266500,48800,28500,364000,108000,162500,93300,176500,104827,163000,58600,114341,57100,78400,108000,43700,222500,307500,129000,15400
2011-02-26,18560,27450,31207,175000,464000,290733,369000,56000,266500,48800,28500,364000,108000,162500,93300,176500,104827,163000,58600,114341,57100,78400,108000,43700,222500,307500,129000,15400
